frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
393	4.189193000	0x40	236	0x0000	0	10	b822000000c0000050ca
395	4.189349000	0x40	194	0x0000	0	0	
397	4.189488000	0x40	199	0x0064	0	0	
399	4.189589000	0x40	193	0xc039	0	0	
401	4.189689000	0x40	193	0x4134	0	0	
403	4.200333000	0xc0	193	0x0039	0	1	
405	4.200443000	0x40	192	0x5066	0	5	ab03123457
407	4.200534000	0xc0	192	0x5066	0	3	
409	4.335112000	0x40	192	0x5066	0	5	ab03123457
411	4.335427000	0xc0	192	0x5066	0	3	
413	4.486455000	0x40	192	0x5066	0	5	ab03123457
415	4.486759000	0xc0	192	0x5066	0	3	
417	4.637152000	0x40	192	0x5066	0	5	ab03123457
419	4.637561000	0xc0	192	0x5066	0	3	
425	4.787927000	0x40	192	0x5066	0	5	ab03123457
427	4.788190000	0xc0	192	0x5066	0	3	
429	4.938641000	0x40	192	0x5066	0	5	ab03123457
431	4.939006000	0xc0	192	0x5066	0	3	
433	5.089740000	0x40	192	0x5066	0	5	ab03123457
435	5.090083000	0xc0	192	0x5066	0	3	
437	5.240783000	0x40	192	0x5066	0	5	ab03123457
439	5.241209000	0xc0	192	0x5066	0	3	
441	5.391867000	0x40	192	0x5066	0	5	ab03123457
443	5.392220000	0xc0	192	0x5066	0	3	
445	5.542070000	0x40	192	0x5066	0	5	ab03123457
447	5.542365000	0xc0	192	0x5066	0	3	
449	5.692296000	0x40	192	0x5066	0	5	ab03123457
451	5.692445000	0xc0	192	0x5066	0	3	
457	5.842828000	0x40	192	0x5066	0	5	ab03123457
459	5.843141000	0xc0	192	0x5066	0	3	
461	5.993183000	0x40	192	0x5066	0	5	ab03123457
463	5.993489000	0xc0	192	0x5066	0	3	
465	6.095144000	0x40	192	0x5066	0	5	ab03123458
467	6.095505000	0xc0	192	0x5066	0	3	
469	6.096450000	0x40	192	0x509c	0	2	0000
471	6.096620000	0x40	192	0x509c	0	2	07a5
473	6.097293000	0x40	192	0x509c	0	2	0000
475	6.097795000	0x40	192	0x5066	0	3	9d0107
477	6.098173000	0xc0	192	0x5066	0	1	
479	6.098988000	0x40	192	0x5066	0	3	9b0101
481	6.099179000	0xc0	192	0x5066	0	1	
483	6.100163000	0x40	192	0x5066	0	3	9b0102
485	6.100343000	0xc0	192	0x5066	0	1	
487	6.101208000	0x40	192	0x5066	0	3	9b0103
489	6.101328000	0xc0	192	0x5066	0	1	
491	6.102216000	0x40	192	0x5066	0	3	9b0105
493	6.102289000	0xc0	192	0x5066	0	1	
495	6.103173000	0x40	192	0x5066	0	3	9b0101
497	6.103262000	0xc0	192	0x5066	0	1	
499	6.104141000	0x40	192	0x5066	0	3	9b0102
501	6.104227000	0xc0	192	0x5066	0	1	
503	6.105106000	0x40	192	0x5066	0	3	9b0103
505	6.105182000	0xc0	192	0x5066	0	1	
507	6.106068000	0x40	192	0x5066	0	3	9b0105
509	6.106144000	0xc0	192	0x5066	0	1	
541	6.120512000	0x40	192	0x5066	0	4	d4000001
543	6.121132000	0x40	192	0x5066	0	4	d5020000
545	6.121878000	0xc0	192	0x5066	0	2	
547	6.122990000	0x40	192	0x5066	0	4	d4000100
549	6.123119000	0x40	192	0x5066	0	4	d5020001
551	6.123844000	0xc0	192	0x5066	0	2	
553	6.124950000	0x40	192	0x5066	0	4	d4000208
555	6.125022000	0x40	192	0x5066	0	4	d5020002
557	6.125777000	0xc0	192	0x5066	0	2	
559	6.126889000	0x40	192	0x5066	0	4	d4000308
561	6.126966000	0x40	192	0x5066	0	4	d5020003
563	6.127724000	0xc0	192	0x5066	0	2	
565	6.128848000	0x40	192	0x5066	0	4	d4000480
567	6.128930000	0x40	192	0x5066	0	4	d5020004
569	6.129689000	0xc0	192	0x5066	0	2	
571	6.130814000	0x40	192	0x5066	0	4	d4000504
573	6.130896000	0x40	192	0x5066	0	4	d5020005
575	6.131661000	0xc0	192	0x5066	0	2	
577	6.132777000	0x40	192	0x5066	0	4	d4000600
579	6.132854000	0x40	192	0x5066	0	4	d5020006
581	6.133640000	0xc0	192	0x5066	0	2	
583	6.134754000	0x40	192	0x5066	0	4	d4000701
585	6.134840000	0x40	192	0x5066	0	4	d5020007
587	6.135617000	0xc0	192	0x5066	0	2	
589	6.136737000	0x40	192	0x5066	0	4	d4000878
591	6.136828000	0x40	192	0x5066	0	4	d5020008
593	6.137604000	0xc0	192	0x5066	0	2	
595	6.138703000	0x40	192	0x5066	0	4	d4000900
597	6.138789000	0x40	192	0x5066	0	4	d5020009
599	6.139558000	0xc0	192	0x5066	0	2	
601	6.140672000	0x40	192	0x5066	0	4	d4000a11
603	6.140760000	0x40	192	0x5066	0	4	d502000a
605	6.141548000	0xc0	192	0x5066	0	2	
607	6.142660000	0x40	192	0x5066	0	4	d4000b11
609	6.142745000	0x40	192	0x5066	0	4	d502000b
611	6.143520000	0xc0	192	0x5066	0	2	
613	6.144648000	0x40	192	0x5066	0	4	d4000c11
615	6.144753000	0x40	192	0x5066	0	4	d502000c
617	6.145537000	0xc0	192	0x5066	0	2	
619	6.146655000	0x40	192	0x5066	0	4	d4000d91
621	6.146746000	0x40	192	0x5066	0	4	d502000d
623	6.147519000	0xc0	192	0x5066	0	2	
625	6.148632000	0x40	192	0x5066	0	4	d4000e11
627	6.148719000	0x40	192	0x5066	0	4	d502000e
629	6.149495000	0xc0	192	0x5066	0	2	
631	6.150607000	0x40	192	0x5066	0	4	d4000f91
633	6.150695000	0x40	192	0x5066	0	4	d502000f
635	6.151475000	0xc0	192	0x5066	0	2	
637	6.152592000	0x40	192	0x5066	0	4	d4001002
639	6.152694000	0x40	192	0x5066	0	4	d5020010
641	6.153461000	0xc0	192	0x5066	0	2	
643	6.154580000	0x40	192	0x5066	0	4	d4001115
645	6.154670000	0x40	192	0x5066	0	4	d5020011
647	6.155438000	0xc0	192	0x5066	0	2	
649	6.156559000	0x40	192	0x5066	0	4	d4001294
651	6.156646000	0x40	192	0x5066	0	4	d5020012
653	6.157420000	0xc0	192	0x5066	0	2	
655	6.158536000	0x40	192	0x5066	0	4	d40013fd
657	6.158635000	0x40	192	0x5066	0	4	d5020013
659	6.159404000	0xc0	192	0x5066	0	2	
661	6.160523000	0x40	192	0x5066	0	4	d4001499
663	6.160622000	0x40	192	0x5066	0	4	d5020014
665	6.161388000	0xc0	192	0x5066	0	2	
667	6.162509000	0x40	192	0x5066	0	4	d40015e3
669	6.162595000	0x40	192	0x5066	0	4	d5020015
671	6.163373000	0xc0	192	0x5066	0	2	
673	6.164482000	0x40	192	0x5066	0	4	d4001600
675	6.164570000	0x40	192	0x5066	0	4	d5020016
677	6.165342000	0xc0	192	0x5066	0	2	
679	6.166454000	0x40	192	0x5066	0	4	d4001700
681	6.166554000	0x40	192	0x5066	0	4	d5020017
683	6.167317000	0xc0	192	0x5066	0	2	
685	6.168434000	0x40	192	0x5066	0	4	d4001818
687	6.168515000	0x40	192	0x5066	0	4	d5020018
689	6.169279000	0xc0	192	0x5066	0	2	
691	6.170394000	0x40	192	0x5066	0	4	d40019a0
693	6.170488000	0x40	192	0x5066	0	4	d5020019
695	6.171257000	0xc0	192	0x5066	0	2	
697	6.172373000	0x40	192	0x5066	0	4	d4001a20
699	6.172479000	0x40	192	0x5066	0	4	d502001a
701	6.173286000	0xc0	192	0x5066	0	2	
703	6.174363000	0x40	192	0x5066	0	4	d4001b80
705	6.174443000	0x40	192	0x5066	0	4	d502001b
707	6.175219000	0xc0	192	0x5066	0	2	
709	6.176335000	0x40	192	0x5066	0	4	d4001c00
711	6.176420000	0x40	192	0x5066	0	4	d502001c
713	6.177211000	0xc0	192	0x5066	0	2	
715	6.178326000	0x40	192	0x5066	0	4	d4001d00
717	6.178410000	0x40	192	0x5066	0	4	d502001d
719	6.179194000	0xc0	192	0x5066	0	2	
721	6.180314000	0x40	192	0x5066	0	4	d4001e00
723	6.180411000	0x40	192	0x5066	0	4	d502001e
725	6.181187000	0xc0	192	0x5066	0	2	
727	6.182307000	0x40	192	0x5066	0	4	d4001f00
729	6.182393000	0x40	192	0x5066	0	4	d502001f
731	6.183178000	0xc0	192	0x5066	0	2	
733	6.184277000	0x40	192	0x5066	0	4	d4002001
735	6.184364000	0x40	192	0x5066	0	4	d5020020
737	6.185134000	0xc0	192	0x5066	0	2	
739	6.186250000	0x40	192	0x5066	0	4	d4002104
741	6.186349000	0x40	192	0x5066	0	4	d5020021
743	6.187124000	0xc0	192	0x5066	0	2	
745	6.188232000	0x40	192	0x5066	0	4	d4002210
747	6.188317000	0x40	192	0x5066	0	4	d5020022
749	6.189084000	0xc0	192	0x5066	0	2	
751	6.190199000	0x40	192	0x5066	0	4	d4002310
753	6.190282000	0x40	192	0x5066	0	4	d5020023
755	6.191051000	0xc0	192	0x5066	0	2	
757	6.192164000	0x40	192	0x5066	0	4	d4002400
759	6.192247000	0x40	192	0x5066	0	4	d5020024
761	6.193057000	0xc0	192	0x5066	0	2	
763	6.194144000	0x40	192	0x5066	0	4	d4002500
765	6.194241000	0x40	192	0x5066	0	4	d5020025
767	6.195014000	0xc0	192	0x5066	0	2	
769	6.196130000	0x40	192	0x5066	0	4	d4002610
771	6.196218000	0x40	192	0x5066	0	4	d5020026
773	6.196997000	0xc0	192	0x5066	0	2	
775	6.198115000	0x40	192	0x5066	0	4	d4002711
777	6.198199000	0x40	192	0x5066	0	4	d5020027
779	6.198971000	0xc0	192	0x5066	0	2	
781	6.200084000	0x40	192	0x5066	0	4	d4002800
783	6.200173000	0x40	192	0x5066	0	4	d5020028
785	6.200949000	0xc0	192	0x5066	0	2	
787	6.202065000	0x40	192	0x5066	0	4	d4002900
789	6.202152000	0x40	192	0x5066	0	4	d5020029
791	6.202918000	0xc0	192	0x5066	0	2	
793	6.204037000	0x40	192	0x5066	0	4	d4002a37
795	6.204126000	0x40	192	0x5066	0	4	d502002a
797	6.204892000	0xc0	192	0x5066	0	2	
799	6.206011000	0x40	192	0x5066	0	4	d4002b2d
801	6.206098000	0x40	192	0x5066	0	4	d502002b
803	6.206883000	0xc0	192	0x5066	0	2	
805	6.208001000	0x40	192	0x5066	0	4	d4002c2d
807	6.208107000	0x40	192	0x5066	0	4	d502002c
809	6.208878000	0xc0	192	0x5066	0	2	
811	6.209999000	0x40	192	0x5066	0	4	d4002d5b
813	6.210100000	0x40	192	0x5066	0	4	d502002d
815	6.210868000	0xc0	192	0x5066	0	2	
817	6.211968000	0x40	192	0x5066	0	4	d4002e40
819	6.212064000	0x40	192	0x5066	0	4	d502002e
821	6.212807000	0xc0	192	0x5066	0	2	
823	6.213919000	0x40	192	0x5066	0	4	d4002f80
825	6.213991000	0x40	192	0x5066	0	4	d502002f
827	6.214755000	0xc0	192	0x5066	0	2	
829	6.215861000	0x40	192	0x5066	0	4	d4003000
831	6.215944000	0x40	192	0x5066	0	4	d5020030
833	6.216699000	0xc0	192	0x5066	0	2	
835	6.217818000	0x40	192	0x5066	0	4	d4003100
837	6.217898000	0x40	192	0x5066	0	4	d5020031
839	6.218648000	0xc0	192	0x5066	0	2	
841	6.219759000	0x40	192	0x5066	0	4	d4003200
843	6.219856000	0x40	192	0x5066	0	4	d5020032
845	6.220596000	0xc0	192	0x5066	0	2	
847	6.221737000	0x40	192	0x5066	0	4	d40033b6
849	6.221834000	0x40	192	0x5066	0	4	d5020033
851	6.222567000	0xc0	192	0x5066	0	2	
853	6.223684000	0x40	192	0x5066	0	4	d4003400
855	6.223774000	0x40	192	0x5066	0	4	d5020034
857	6.224519000	0xc0	192	0x5066	0	2	
859	6.225633000	0x40	192	0x5066	0	4	d4003500
861	6.225724000	0x40	192	0x5066	0	4	d5020035
863	6.226471000	0xc0	192	0x5066	0	2	
865	6.227589000	0x40	192	0x5066	0	4	d4003601
867	6.227670000	0x40	192	0x5066	0	4	d5020036
869	6.228418000	0xc0	192	0x5066	0	2	
871	6.229535000	0x40	192	0x5066	0	4	d4003700
873	6.229625000	0x40	192	0x5066	0	4	d5020037
875	6.230367000	0xc0	192	0x5066	0	2	
877	6.231487000	0x40	192	0x5066	0	4	d4003800
879	6.231582000	0x40	192	0x5066	0	4	d5020038
881	6.232318000	0xc0	192	0x5066	0	2	
883	6.233434000	0x40	192	0x5066	0	4	d4003900
885	6.233529000	0x40	192	0x5066	0	4	d5020039
887	6.234272000	0xc0	192	0x5066	0	2	
889	6.235388000	0x40	192	0x5066	0	4	d4003a91
891	6.235483000	0x40	192	0x5066	0	4	d502003a
893	6.236221000	0xc0	192	0x5066	0	2	
895	6.237339000	0x40	192	0x5066	0	4	d4003b91
897	6.237419000	0x40	192	0x5066	0	4	d502003b
899	6.238182000	0xc0	192	0x5066	0	2	
901	6.239292000	0x40	192	0x5066	0	4	d4003c93
903	6.239381000	0x40	192	0x5066	0	4	d502003c
905	6.240125000	0xc0	192	0x5066	0	2	
907	6.241241000	0x40	192	0x5066	0	4	d4003d93
909	6.241321000	0x40	192	0x5066	0	4	d502003d
911	6.242074000	0xc0	192	0x5066	0	2	
913	6.243190000	0x40	192	0x5066	0	4	d4003e91
915	6.243274000	0x40	192	0x5066	0	4	d502003e
917	6.244027000	0xc0	192	0x5066	0	2	
919	6.245145000	0x40	192	0x5066	0	4	d4003f93
921	6.245222000	0x40	192	0x5066	0	4	d502003f
923	6.245982000	0xc0	192	0x5066	0	2	
925	6.247098000	0x40	192	0x5066	0	4	d4004003
927	6.247171000	0x40	192	0x5066	0	4	d5020040
929	6.247932000	0xc0	192	0x5066	0	2	
931	6.249051000	0x40	192	0x5066	0	4	d4004107
933	6.249139000	0x40	192	0x5066	0	4	d5020041
935	6.249899000	0xc0	192	0x5066	0	2	
937	6.251010000	0x40	192	0x5066	0	4	d4004200
939	6.251084000	0x40	192	0x5066	0	4	d5020042
941	6.251850000	0xc0	192	0x5066	0	2	
943	6.252966000	0x40	192	0x5066	0	4	d4004307
945	6.253047000	0x40	192	0x5066	0	4	d5020043
947	6.253808000	0xc0	192	0x5066	0	2	
949	6.254929000	0x40	192	0x5066	0	4	d4004400
951	6.255020000	0x40	192	0x5066	0	4	d5020044
953	6.255783000	0xc0	192	0x5066	0	2	
955	6.256893000	0x40	192	0x5066	0	4	d4004500
957	6.256977000	0x40	192	0x5066	0	4	d5020045
959	6.257738000	0xc0	192	0x5066	0	2	
961	6.258850000	0x40	192	0x5066	0	4	d400465b
963	6.258928000	0x40	192	0x5066	0	4	d5020046
965	6.259695000	0xc0	192	0x5066	0	2	
967	6.260813000	0x40	192	0x5066	0	4	d400475b
969	6.260891000	0x40	192	0x5066	0	4	d5020047
971	6.261657000	0xc0	192	0x5066	0	2	
973	6.262783000	0x40	192	0x5066	0	4	d4004830
975	6.262880000	0x40	192	0x5066	0	4	d5020048
977	6.263646000	0xc0	192	0x5066	0	2	
979	6.264758000	0x40	192	0x5066	0	4	d40049c8
981	6.264842000	0x40	192	0x5066	0	4	d5020049
983	6.265612000	0xc0	192	0x5066	0	2	
985	6.266725000	0x40	192	0x5066	0	4	d4004a5b
987	6.266806000	0x40	192	0x5066	0	4	d502004a
989	6.267575000	0xc0	192	0x5066	0	2	
991	6.268687000	0x40	192	0x5066	0	4	d4004bc8
993	6.268768000	0x40	192	0x5066	0	4	d502004b
995	6.269550000	0xc0	192	0x5066	0	2	
997	6.270665000	0x40	192	0x5066	0	4	d4004c80
999	6.270754000	0x40	192	0x5066	0	4	d502004c
1001	6.271531000	0xc0	192	0x5066	0	2	
1003	6.272652000	0x40	192	0x5066	0	4	d4004d80
1005	6.272740000	0x40	192	0x5066	0	4	d502004d
1007	6.273519000	0xc0	192	0x5066	0	2	
1009	6.274634000	0x40	192	0x5066	0	4	d4004e80
1011	6.274722000	0x40	192	0x5066	0	4	d502004e
1013	6.275498000	0xc0	192	0x5066	0	2	
1015	6.276646000	0x40	192	0x5066	0	4	d4004f80
1017	6.276743000	0x40	192	0x5066	0	4	d502004f
1019	6.277540000	0xc0	192	0x5066	0	2	
1021	6.278657000	0x40	192	0x5066	0	4	d4005080
