frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
8719	14.352674000	0x40	192	0x5066	0	3	9b010e
8721	14.352784000	0xc0	192	0x5066	0	1	
8723	14.353674000	0x40	192	0x509c	0	2	0000
8725	14.353758000	0x40	192	0x5066	0	3	9d0155
8727	14.354309000	0xc0	192	0x5066	0	1	
8731	14.355183000	0x40	192	0x509c	0	2	0000
8733	14.355268000	0x40	192	0x509c	0	2	b3ff
8735	14.355709000	0x40	192	0x509c	0	2	0002
8737	14.356251000	0x40	192	0x509c	0	2	27ff
8739	14.356786000	0x40	192	0x509c	0	2	0002
8741	14.357326000	0x40	192	0x5066	0	3	9d0111
8743	14.357766000	0xc0	192	0x5066	0	1	
8745	14.358651000	0x40	192	0x509c	0	2	0002
8747	14.358733000	0x40	192	0x5066	0	3	9d0112
8751	14.359189000	0xc0	192	0x5066	0	1	
8753	14.360068000	0x40	192	0x509c	0	2	0002
8755	14.360150000	0x40	192	0x5066	0	3	9d0112
8757	14.360596000	0xc0	192	0x5066	0	1	
8759	14.361471000	0x40	192	0x509c	0	2	0002
8761	14.361568000	0x40	192	0x5066	0	3	9d0111
8765	14.362001000	0xc0	192	0x5066	0	1	
8769	14.362883000	0x40	192	0x509c	0	2	0002
8771	14.362980000	0x40	192	0x509c	0	2	2000
8773	14.363430000	0x40	192	0x5066	0	3	9b0109
8775	14.363960000	0xc0	192	0x5066	0	1	
8783	14.366200000	0x40	192	0x5066	0	3	9b010e
8787	14.366845000	0xc0	192	0x5066	0	1	
8859	14.470451000	0x40	192	0x5066	0	3	9b010e
8861	14.470566000	0xc0	192	0x5066	0	1	
8865	14.471456000	0x40	192	0x509c	0	2	0000
8867	14.471534000	0x40	192	0x5066	0	3	9d0155
8871	14.472067000	0xc0	192	0x5066	0	1	
8873	14.472958000	0x40	192	0x509c	0	2	0000
8875	14.473038000	0x40	192	0x509c	0	2	b3ff
8877	14.473486000	0x40	192	0x509c	0	2	0002
8879	14.474026000	0x40	192	0x509c	0	2	27ff
8881	14.474566000	0x40	192	0x509c	0	2	0002
8885	14.475105000	0x40	192	0x5066	0	3	9d0111
8887	14.475540000	0xc0	192	0x5066	0	1	
8889	14.476420000	0x40	192	0x509c	0	2	0002
8891	14.476512000	0x40	192	0x5066	0	3	9d0112
8893	14.477009000	0xc0	192	0x5066	0	1	
8895	14.477827000	0x40	192	0x509c	0	2	0002
8897	14.477913000	0x40	192	0x5066	0	3	9d0112
8899	14.478348000	0xc0	192	0x5066	0	1	
8903	14.479256000	0x40	192	0x509c	0	2	0002
8905	14.479345000	0x40	192	0x5066	0	3	9d0111
8907	14.479796000	0xc0	192	0x5066	0	1	
8909	14.480684000	0x40	192	0x509c	0	2	0002
8911	14.480770000	0x40	192	0x509c	0	2	2000
8913	14.481226000	0x40	192	0x5066	0	3	9b0109
8915	14.481752000	0xc0	192	0x5066	0	1	
8927	14.483985000	0x40	192	0x5066	0	3	9b010e
8929	14.484612000	0xc0	192	0x5066	0	1	
9005	14.590876000	0x40	192	0x5066	0	3	9b010e
9007	14.590950000	0xc0	192	0x5066	0	1	
9009	14.591833000	0x40	192	0x509c	0	2	0000
9011	14.591919000	0x40	192	0x5066	0	3	9d0155
9015	14.592448000	0xc0	192	0x5066	0	1	
9017	14.593334000	0x40	192	0x509c	0	2	0000
9019	14.593431000	0x40	192	0x509c	0	2	b3ff
9021	14.593880000	0x40	192	0x509c	0	2	0002
9023	14.594416000	0x40	192	0x509c	0	2	27ff
9027	14.594998000	0x40	192	0x509c	0	2	0002
9029	14.595498000	0x40	192	0x5066	0	3	9d0111
